cosmote;094493766;16,20
ουτοπία δ. τζανάκης & σια ο.ε;082283077;15,00
carfourre;999842977;8,70
cosmote;094493766;25,840
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;23,990
chinavasion whole sales site;chinavasi;45,60
goodbudget-ebay seller;goodbudg;5,980
sales d.e edwards ebay seller;salesf;44,340
τεχνοπολις;999981756;3,00
κουμουλας αε βενζιναδικο;999678050;20,00
carfourre;999842977;6,980
οτε;094019245;62,00
παγκρήτια τράπεζα;096121548;161,00
lidl;093683423;20,550
grand πιτσαρία;998864289;9,90
carfourre;999842977;10,10
haagen dazs ηρακλείου;998089766;10,80
creperie haris;998784892;20,40
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;49,80
cosmote;094493766;25,070
cosmote;094493766;14,230
ψιμοπουλάκης δημήτρης-τζάκια;045643707;200,00
carfourre;999842977;2,00
makro;094241249;111,680
κουμουλας αε βενζιναδικο;999678050;20,00
alex pak;094231385;5,050
dia;998163111;3,580
ελτα;094026421;1,20
δεη;090000045;44,50
praktiker;094317955;18,280
μαρνελος-μοτο μοτο;038267535;15,00
praktiker;094317955;96,60
ψιμοπουλάκης δημήτρης-τζάκια;045643707;2000,00
cosmos center-κ. σκουτελης & σια ο.ε;998293741;65,00
dia;998163111;11,650
dia;998163111;3,150
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;81,60
παγκρήτια τράπεζα;096121548;160,10
carfourre;999842977;25,090
κρεωπολείο σταθμός-αφοι φορτετσανάκη οε;081181296;33,790
κουμουλας αε βενζιναδικο;999678050;20,00
lidl;093683423;16,450
makro;094241249;68,520
dia;998163111;1,220
lidl;093683423;7,880
carfourre;999842977;17,140
νικηφόρος μιχαήλ-ψιλικά;037789690;2,00
ψιμοπουλάκης δημήτρης-τζάκια;045643707;500,00
cosmote;094493766;25,00
cosmote;094493766;14,750
dia;998163111;3,850
wash experts;998090095;20,00
carfourre;999842977;15,00
carfourre;999842977;21,50
κουμουλας αε βενζιναδικο;999678050;20,00
κρητικός φούρνος αεβε;082462123;14,30
κουμουλας αε βενζιναδικο;999678050;20,00
ελτα;094026421;1,30
παγκρήτια τράπεζα;096121548;160,10
grand πιτσαρία;998864289;6,00
οτε;094019245;51,50
carfourre;999842977;37,990
carfourre;999842977;9,610
dia;998163111;2,10
κουμουλας αε βενζιναδικο;999678050;20,00
amazon;998770297;24,670
cosmos center-κ. σκουτελης & σια ο.ε;998293741;3,50
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
plus4u;998299315;55,20
lidl;093683423;33,720
κουμουλας αε βενζιναδικο;999678050;20,00
δεη;090000045;53,50
cosmote;094493766;15,270
cosmote;094493766;12,860
carfourre;999842977;47,470
carfourre;999842977;15,640
ελτα;094026421;1,00
κουμουλας αε βενζιναδικο;999678050;15,00
minoan lines;094049145;38,50
3ix;3ix;8,520
παπασωτηρίου βιβλιοπωλείο;094397477;8,950
lidl;093683423;16,50
ξενοδοχείο stanley;094013290;120,00
village cinemas;094504693;9,50
κολομβου μονοπροσωπη επε-αναψυκτηριο;099378473;1,950
ξενοδοχείο stanley;094013290;13,50
οασα;oasa;1,40
οασα;oasa;1,40
minoan lines;094049145;19,20
αικατερινη νικα-καφενειο;035259740;3,00
αικατερινη νικα-καφενειο;035259740;5,00
αικατερινη νικα-καφενειο;035259740;10,00
carfourre;999842977;10,650
οασα;oasa;4,00
ισηγονης γεωργιος καφε εστιατοριο;014274507;8,50
αφοι γλεντζακη επε everest;999962477;3,60
αφοι γλεντζακη επε everest;999962477;2,70
superfast ferries (attica ferries m.c);998047751;1,30
superfast ferries (attica ferries m.c);998047751;10,10
superfast ferries (attica ferries m.c);998047751;10,00
superfast ferries (attica ferries m.c);998047751;19,00
afisorama;036746575;2,70
σερραικον μπουγατσα-πιτσα;042376865;2,00
αριάδνη σουπερ μαρκετ;998865815;13,970
παγκρήτια τράπεζα;096121548;160,10
κουμουλας αε βενζιναδικο;999678050;20,00
ουτοπία δ. τζανάκης & σια ο.ε;082283077;5,50
dia;998163111;5,940
dia;998163111;12,140
dia;998163111;2,910
κουμουλας αε βενζιναδικο;999678050;20,00
dia;998163111;3,070
sell-trade-ebay;selltrad;10,110
κουμουλας αε βενζιναδικο;999678050;20,00
κουμουλας αε βενζιναδικο;999678050;22,00
απλαδά αριστέα σουπερ μάρκετ;047622387;3,70
cosmote;094493766;5,640
κουμουλας αε βενζιναδικο;999678050;15,50
cosmote;094493766;15,00
τεχνοπολις;999981756;10,00
carfourre;999842977;19,30
thesporshq-skini-ebay;thesporsh;46,260
dia;998163111;13,640
κουμουλας αε βενζιναδικο;999678050;18,00
κοτονέον;047217161;7,20
lidl;093683423;11,270
οτε;094019245;51,00
amazon;998770297;145,280
παγκρήτια τράπεζα;096121548;160,780
carfourre;999842977;45,760
wash experts;998090095;20,00
ελτα;094026421;1,270
dia;998163111;3,570
δεη;090000045;128,050
μινεττα ασφαλιστική;094040925;108,840
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,470
τεχνοπολις;999981756;7,00
cosmote;094493766;14,230
cosmote;094493766;15,00
carfourre;999842977;56,170
δονταδάκης αντώνιος-βιβλιοπωλείο;013750008;3,70
κουμουλας αε βενζιναδικο;999678050;12,00
αριάδνη σουπερ μαρκετ;998865815;1,420
πρατηριο-ρωμανια αικατερινη;041302497;15,020
πλαισιο;094222211;15,00
lidl;093683423;10,170
κουμουλας αε βενζιναδικο;999678050;10,00
yacht-cafe;999270866;2,50
peackocks;999992899;34,50
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,890
απλαδάς-ζαχαροπλαστείο;028112578;1,70
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;5,170
