cosmote;094493766;16,520; 
amazon;998770297;16,140; 
καρβελας ηλεκτρικά;094273991;190,00; 
ασμαριακάνης ια & ικ ασμαριανάκης οε-υδραυλικά;998090650;6,590; 
α/β βασιλόπουλος;094025817;7,450; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
α/β βασιλόπουλος;094025817;18,660; 
Βαφτηστίρι;βαφτ;50,00; 
carfourre;999842977;7,80; 
α/β βασιλόπουλος;094025817;5,00; 
α/β βασιλόπουλος;094025817;10,190; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
elite ζαχαροπλαστείο;013587956;12,00; 
διακάκη κοκκινάκη ευαγγελία συστεγασμένα φαρμακεία οε;998782468;2,90; 
αλίκη πριμικηρη-φαρμακείο;040481184;6,60; 
παγκρήτια τράπεζα;096121548;109,00; 
lidl;093683423;14,190; 
καλογεράκης-υδραυλικά;καλογερακ;4,00; 
ρομπογιαννάκης-ανταλλακτικά-υδραυλικά;ρομπο;1,50; 
τεχνοπολις;999981756;7,00; 
envazone ebay seller;elvazo;9,640; 
hetzner online ag;812871812;7,90; 
super τακούνι γρηγόρης-τσαγκάρης στη στοά;998784019;2,50; 
everest;998188904;7,120; 
βιτσέντζος κορνάρος σινεμα;097543896;7,00; 
δορκάς δερμάτινα;082979984;110,00; 
cyta;998646157;16,250; 
α/β βασιλόπουλος;094025817;1,560; 
επι χάνδακος - καφετέρια;επιχανδα;6,00; 
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;0,990; 
κουμουλας αε βενζιναδικο;999678050;21,50; 
καρυωτάκη ελένη-φαρμακείο;045847532;2,00; 
κύβος βιβλιοπωλείο;015947962;4,50; 
τεχνοπολις;999981756;7,00; 
carfourre;999842977;21,850; 
cosmote;094493766;14,850; 
α/β βασιλόπουλος;094025817;8,810; 
κρεωπολείο σταθμός-αφοι φορτετσανάκη οε;081181296;14,130; 
lidl;093683423;17,660; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
α/β βασιλόπουλος;094025817;17,820; 
φράρος νεκτάριος-κλειδαρας;φραρνεκτα;60,00; 
lidl;093683423;11,640; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
βιτσέντζος κορνάρος σινεμα;097543896;7,00; 
α/β βασιλόπουλος;094025817;4,620; 
α/β βασιλόπουλος;094025817;3,560; 
α/β βασιλόπουλος;094025817;5,750; 
δεη;090000045;451,00; 
α/β βασιλόπουλος;094025817;3,030; 
czxwyst ebay seller;czxwyst;7,420; 
pilotfish pens;822108467;5,880; 
draft -καφετέρια;draft;10,00; 
α/β βασιλόπουλος;094025817;6,240; 
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
παγκρήτια τράπεζα;096121548;108,460; 
hetzner online ag;812871812;7,90; 
czxwyst ebay seller;czxwyst;6,150; 
czxwyst ebay seller;czxwyst;4,70; 
α/β βασιλόπουλος;094025817;8,830; 
τραπεζια;τραπεζια;5,00; 
cyta;998646157;16,160; 
davecowling ebay seller;davecowl;14,00; 
lidl;093683423;7,30; 
κουτουλακης εμμανουηλ-σουπερμαρκετ-αρχανες;110709950;0,740; 
griffisp-ebay-seller;griffisp;11,240; 
crissa1982-ebay-seller;crissa;18,630; 
davecowling ebay seller;davecowl;13,920; 
tinxi-style-ebay-seller;tinxi;2,30; 
keech hospice charity-ebay seller;keech;12,360; 
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;4,90; 
carfourre;999842977;23,70; 
cosmote;094493766;14,540; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
onibury-ebay-seller;onibury;7,70; 
makro;094241249;29,80; 
ρομπογιαννάκης-ανταλλακτικά-υδραυλικά;ρομπο;22,60; 
stoneybrokey-ebay-seller;stoneybro;4,890; 
soisjack-ebay seller;soisjack;29,230; 
κύβος βιβλιοπωλείο;015947962;5,20; 
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;3,20; 
χαλκιαδάκης σουπερμάρκετ;094113461;6,310; 
αλεξακης χαραλαμπος-φωτογραφικα ειδη-ασημικά-ρολόγια;038464868;16,50; 
praktiker;094317955;14,10; 
Θέατρο της Σητείας;θεατρ-σητ;10,00; 
α/β βασιλόπουλος;094025817;11,870; 
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;5,00; 
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;2,880; 
α/β βασιλόπουλος;094025817;2,220; 
creta cinemas-odeon talos;998643653;7,00; 
κουμουλας αε βενζιναδικο;999678050;17,00; 
creta cinemas-odeon talos;998643653;4,50; 
μπορμπαντωνάκη καλλιόπη- η κουζίνα της πόπης;036281073;49,30; 
racingshandy-ebay-seller;racingsha;11,170; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
praktiker;094317955;50,00; 
hetzner online ag;812871812;7,90; 
παγκρήτια τράπεζα;096121548;108,460; 
lidl;093683423;6,320; 
praktiker;094317955;27,80; 
toolsaplenty-ebay-seller;toolsaple;5,80; 
sugar-cafe μανώλης κουρτάκης;sugar;7,00; 
cyta;998646157;16,170; 
peackocks;999992899;77,00; 
haagen dazs ηρακλείου;998089766;5,90; 
κουμουλας αε βενζιναδικο;999678050;19,00; 
γρανάζι-μπαρ ιωακειμίσης χρήστος;127273004;24,00; 
cosmote;094493766;15,680; 
παγοποιείο-καφε-μπαρ;παγοπ;4,00; 
currycurrys-ebay seller;curry;9,690; 
α/β βασιλόπουλος;094025817;4,230; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
δεη;090000045;253,750; 
inshaallah-ebay-seller;inshaalla;8,390; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
κουμουλας αε βενζιναδικο;999678050;10,00; 
moto gp-γιαννης ψυχογιος;079876702;40,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
α/β βασιλόπουλος;094025817;11,160; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
czxwyst ebay seller;czxwyst;6,290; 
hetzner online ag;812871812;7,90; 
α/β βασιλόπουλος;094025817;9,470; 
κουμουλας αε βενζιναδικο;999678050;14,00; 
παγκρήτια τράπεζα;096121548;108,460; 
cyta;998646157;16,950; 
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;10,330; 
καστελιανός εμμανουήλ εμπόριο τροφίμων-λαχανικών;07662257;1,850; 
ssquare_boutique ebay seller;ssquarebo;5,950; 
cosmote;094493766;14,330; 
α/β βασιλόπουλος;094025817;11,060; 
κουμουλας αε βενζιναδικο;999678050;19,00; 
ι. καραλης & σια οε-ανταλακτικά αυτοκινήτου;081888382;7,00; 
τζωρτζάκης ανδρέας-συνεργείο αυτοκινήτου;059170310;45,00; 
carfourre;999842977;1,50; 
σκουλουδης σνακ μπαρ;044810983;7,40; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
τραντας περίπτερο;103819640;6,00; 
κουμουλας αε βενζιναδικο;999678050;18,00; 
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;12,410; 
καστελιανός εμμανουήλ εμπόριο τροφίμων-λαχανικών;07662257;5,070; 
τζαγκαράκης-εστιατόριο-γενί-γκαβέ;τζαγκαρακ;16,50; 
α/β βασιλόπουλος;094025817;6,870; 
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;3,20; 
παγκρήτια τράπεζα;096121548;108,460; 
hetzner online ag;812871812;7,90; 
επι χάνδακος - καφετέρια;επιχανδα;10,00; 
yankees εστιατόριο;997528444;10,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
τεχνοπολις;999981756;6,00; 
μινεττα ασφαλιστική;094040925;105,00; 
cosmote;094493766;15,060; 
κουμουλας αε βενζιναδικο;999678050;19,00; 
α/β βασιλόπουλος;094025817;15,880; 
50-50 εστιατόριο;50-50;15,00; 
hotel plus στειακάκη μαρια & σια ε.ε ξενοδοχειακός εξοπλισμός;998189452;3,370; 
ευκάλυπτος καφετέρια;ευκαλυπ;7,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
τραντας περίπτερο;103819640;2,30; 
γάμοι;γάμοι;20,00; 
κρεωπολείο σταθμός-αφοι φορτετσανάκη οε;081181296;28,020; 
carfourre;999842977;26,960; 
βασιλάκης στυλιανός φρουταγορά;059912136;4,80; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
γάμοι;γάμοι;40,00; 
τραντας περίπτερο;103819640;1,80; 
δεη;090000045;100,420; 
παγκρήτια τράπεζα;096121548;2949,760; 
τραχανατζή επε-φωτογραφικά είδη;099707172;12,00; 
καφέ μπαρ το ρολόι;998294252;3,00; 
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;3,50; 
α/β βασιλόπουλος;094025817;7,670; 
καρνάγιο-λημναίος-εμμανουήλ;καρνάγιο;17,00; 
hetzner online ag;812871812;7,90; 
δήμητριος τσαφατσίνος-φρουταγορά;029305927;6,20; 
jojoandyou ebay seller;jojoandyo;9,880; 
wash experts;998090095;20,00; 
τραντας περίπτερο;103819640;7,30; 
carfourre;999842977;25,670; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
cosmote;094493766;16,10; 
α/β βασιλόπουλος;094025817;4,240; 
δείπνος στην αγορά-εστιατόριο;998190198;12,50; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
υπουργείο οικονομικών;υπ.οικον;516,010; 
ν. πανταλος-μ.ζαχαρακη ο.ε-ηλεκτρολογικό υλικό;998783453;5,00; 
υπουργείο οικονομικών;υπ.οικον;84,40; 
καρπαθιωτάκης νικόλαος-ξηροί καρποί;103816857;6,50; 
πεδιαδιτάκη ευαγγελία-φωτογραφικά;103529868;1,50; 
ράπτη παρασκευή-παγωτό gelatto;114263350;2,90; 
νάθενας-αγγέλου οε βιβλιοπωλείο ελευθερουδάκη;998637310;7,20; 
