οτε;094019245;31,00
δεη;090000045;78,50
moto gp-γιαννης ψυχογιος;079876702;246,00
praktiker;094317955;8,20
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;26,190
κοτσιφος ιωαννης-καθρεπτες-κρυσταλλα;039826730;30,00
ερμης αεμεε-βενζινάδικο;094025320;18,490
μαρκακη-ευθαλία-φαρμακείο;055494096;3,280
alex pak;094231385;3,820
δευαη;090030037;64,30
grand πιτσαρία;998864289;6,70
3ix;3ix;8,990
dia;998163111;10,380
carfourre;999842977;10,270
wash experts;998090095;20,00
carfourre;999842977;18,270
carfourre;999842977;4,710
cosmote;094493766;14,450
cosmote;094493766;28,940
afisorama;036746575;30,00
παγκρήτια τράπεζα;096121548;160,120
lidl;093683423;18,610
κουμουλας αε βενζιναδικο;999678050;20,00
makro;094241249;66,590
κουμουλας αε βενζιναδικο;999678050;20,00
wash experts;998090095;20,00
μιχελάκης κων/νος-ζαχαροπλαστείο μελύριτον;044102303;16,50
χαλκιαδάκης σουπερμάρκετ;094113461;6,090
αυγουστάκης ελευθέριος συνεργείο;059995785;137,280
αυγουστάκης ελευθέριος συνεργείο;059995785;55,350
praktiker;094317955;4,60
κουμουλας αε βενζιναδικο;999678050;20,00
γιανναρης-σουβλατζιδικο;110103699;11,00
trusted-goods-ebay;trust-ds;22,310
lidl;093683423;7,960
κουμουλας αε βενζιναδικο;999678050;20,00
τεχνοπολις;999981756;3,00
τεχνοπολις;999981756;10,00
amazon;998770297;55,450
grand πιτσαρία;998864289;6,00
μαρκακη-ευθαλία-φαρμακείο;055494096;4,60
μινεττα ασφαλιστική;094040925;108,00
dia;998163111;6,280
π.γ καγιάμης & σια ο.ε;081583144;1,720
πλαισιο;094222211;18,950
τεχνοπολις;999981756;7,00
carfourre;999842977;81,450
γιώργος κορναράκης-ραπτομηχανές;027177420;2,00
praktiker;094317955;28,850
κουμουλας αε βενζιναδικο;999678050;20,00
παγκρήτια τράπεζα;096121548;160,120
ζαχαροπλαστείο-καλοκύρης σταύρος;063924248;18,50
π.γ καγιάμης & σια ο.ε;081583144;4,720
cosmote;094493766;14,130
cosmote;094493766;28,940
οτε;094019245;31,50
ελτα;094026421;1,250
eshop;099935390;172,950
κουτουλακης εμμανουηλ-σουπερμαρκετ-αρχανες;110709950;5,030
grand πιτσαρία;998864289;6,00
τεχνοπολις;999981756;7,00
τεχνοπολις;999981756;3,50
π.γ καγιάμης & σια ο.ε;081583144;7,20
wash experts;998090095;20,00
carfourre;999842977;13,820
cosmote;094493766;14,10
cosmote;094493766;28,940
makro;094241249;16,00
βενζινάδικο μασαούτης;066382473;20,00
δεη;090000045;86,00
κουμουλας αε βενζιναδικο;999678050;15,00
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
μπουλουκος super market μπουλουκακης ιωαννης αεε;999361358;2,10
praktiker;094317955;60,60
ζαχαροπλαστείο-καλοκύρης σταύρος;063924248;25,40
θεατρική ομάδα οικ. επιμελ. αν. κρήτης;οεετακ-θ;8,00
praktiker;094317955;12,60
δεη;090000045;30,00
σκουλουδης σνακ μπαρ;044810983;8,70
alex pak;094231385;5,070
wash experts;998090095;20,00
παγκρήτια τράπεζα;096121548;160,120
houseland-εργαλεια;047622431;15,00
συγλέτος εμμ & ειρήνη σουπερμαρκετ;082410311;3,840
κουμουλας αε βενζιναδικο;999678050;20,00
κουτουλακης εμμανουηλ-σουπερμαρκετ-αρχανες;110709950;1,320
τεχνοπολις;999981756;10,00
wash experts;998090095;20,00
makro;094241249;42,150
cosmos center-κ. σκουτελης & σια ο.ε;998293741;3,250
παγκρήτια τράπεζα;096121548;25,00
ελτα;094026421;1,230
carfourre;999842977;15,630
κουμουλας αε βενζιναδικο;999678050;20,00
cosmote;094493766;16,20
συνεταιριστική ασφαλιστική αεεγα;094065956;288,50
ουτοπία δ. τζανάκης & σια ο.ε;082283077;15,00
carfourre;999842977;8,70
cosmote;094493766;25,840
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;23,990
chinavasion whole sales site;chinavasi;45,60
goodbudget-ebay seller;goodbudg;5,980
sales d.e edwards ebay seller;salesf;44,340
τεχνοπολις;999981756;3,00
κουμουλας αε βενζιναδικο;999678050;20,00
carfourre;999842977;6,980
οτε;094019245;62,00
παγκρήτια τράπεζα;096121548;161,00
lidl;093683423;20,550
grand πιτσαρία;998864289;9,90
carfourre;999842977;10,10
haagen dazs ηρακλείου;998089766;10,80
creperie haris;998784892;20,40
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;49,80
cosmote;094493766;25,070
cosmote;094493766;14,230
ψιμοπουλάκης δημήτρης-τζάκια;045643707;200,00
carfourre;999842977;2,00
makro;094241249;111,680
κουμουλας αε βενζιναδικο;999678050;20,00
alex pak;094231385;5,050
dia;998163111;3,580
ελτα;094026421;1,20
δεη;090000045;44,50
praktiker;094317955;18,280
μαρνελος-μοτο μοτο;038267535;15,00
praktiker;094317955;96,60
ψιμοπουλάκης δημήτρης-τζάκια;045643707;2000,00
cosmos center-κ. σκουτελης & σια ο.ε;998293741;65,00
dia;998163111;11,650
dia;998163111;3,150
κουμουλας αε βενζιναδικο;999678050;20,00
praktiker;094317955;81,60
παγκρήτια τράπεζα;096121548;160,10
carfourre;999842977;25,090
κρεωπολείο σταθμός-αφοι φορτετσανάκη οε;081181296;33,790
κουμουλας αε βενζιναδικο;999678050;20,00
lidl;093683423;16,450
makro;094241249;68,520
dia;998163111;1,220
lidl;093683423;7,880
carfourre;999842977;17,140
νικηφόρος μιχαήλ-ψιλικά;037789690;2,00
ψιμοπουλάκης δημήτρης-τζάκια;045643707;500,00
cosmote;094493766;25,00
cosmote;094493766;14,750
dia;998163111;3,850
wash experts;998090095;20,00
carfourre;999842977;15,00
carfourre;999842977;21,50
κουμουλας αε βενζιναδικο;999678050;20,00
κρητικός φούρνος αεβε;082462123;14,30
κουμουλας αε βενζιναδικο;999678050;20,00
ελτα;094026421;1,30
παγκρήτια τράπεζα;096121548;160,10
grand πιτσαρία;998864289;6,00
οτε;094019245;51,50
carfourre;999842977;37,990
carfourre;999842977;9,610
dia;998163111;2,10
κουμουλας αε βενζιναδικο;999678050;20,00
amazon;998770297;24,670
cosmos center-κ. σκουτελης & σια ο.ε;998293741;3,50
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
plus4u;998299315;55,20
lidl;093683423;33,720
κουμουλας αε βενζιναδικο;999678050;20,00
δεη;090000045;53,50
cosmote;094493766;15,270
cosmote;094493766;12,860
carfourre;999842977;47,470
carfourre;999842977;15,640
ελτα;094026421;1,00
κουμουλας αε βενζιναδικο;999678050;15,00
minoan lines;094049145;38,50
3ix;3ix;8,520
παπασωτηρίου βιβλιοπωλείο;094397477;8,950
lidl;093683423;16,50
ξενοδοχείο stanley;094013290;120,00
village cinemas;094504693;9,50
κολομβου μονοπροσωπη επε-αναψυκτηριο;099378473;1,950
ξενοδοχείο stanley;094013290;13,50
οασα;oasa;1,40
οασα;oasa;1,40
minoan lines;094049145;19,20
αικατερινη νικα-καφενειο;035259740;3,00
αικατερινη νικα-καφενειο;035259740;5,00
αικατερινη νικα-καφενειο;035259740;10,00
carfourre;999842977;10,650
οασα;oasa;4,00
ισηγονης γεωργιος καφε εστιατοριο;014274507;8,50
αφοι γλεντζακη επε everest;999962477;3,60
αφοι γλεντζακη επε everest;999962477;2,70
superfast ferries (attica ferries m.c);998047751;1,30
superfast ferries (attica ferries m.c);998047751;10,10
superfast ferries (attica ferries m.c);998047751;10,00
superfast ferries (attica ferries m.c);998047751;19,00
afisorama;036746575;2,70
σερραικον μπουγατσα-πιτσα;042376865;2,00
αριάδνη σουπερ μαρκετ;998865815;13,970
παγκρήτια τράπεζα;096121548;160,10
κουμουλας αε βενζιναδικο;999678050;20,00
ουτοπία δ. τζανάκης & σια ο.ε;082283077;5,50
dia;998163111;5,940
dia;998163111;12,140
dia;998163111;2,910
κουμουλας αε βενζιναδικο;999678050;20,00
dia;998163111;3,070
sell-trade-ebay;selltrad;10,110
